Team,Name,Alias,Role,Credit
BLR,AB de Villiers,A. Villiers,BAT/WK,9.5
PNJ,KL Rahul,K. Rahul,BAT/WK,9.5
RAJ,Jos Buttler,J. Buttler,BAT/WK,9.5
DEL,Rishabh Pant,R. Pant,BAT/WK,9.5
CHE,MS Dhoni,M. Dhoni,BAT/WK,9.5
HYD,Jonny Bairstow,J. Bairstow,BAT/WK,9
MUM,Quinton de Kock,Q. Kock,BAT/WK,9
RAJ,Sanju Samson,S. Samson,BAT/WK,9
PNJ,Nicholas Pooran,N. Pooran,BAT/WK,8.5
KOL,Tim Seifert,T. Seifert,BAT/WK,8.5
KOL,Dinesh Karthik,D. Karthik,BAT/WK,8.5
MUM,Ishan Kishan,I. Kishan,BAT/WK,8.5
DEL,Sam Billings,S. Billings,WK,8.5
HYD,Wriddhiman Saha,W. Saha,BAT/WK,8
DEL,Vishnu Vinod,V. Vinod,WK,8
BLR,KS Bharat,K. Bharat,WK,8
KOL,Sheldon Jackson,S. Jackson,WK,8
MUM,Aditya Tare,A. Tare,WK,8
PNJ,Prabhsimran Singh,P. Singh,WK,8
HYD,Shreevats Goswami,S. Goswami,BAT/WK,7.5
RAJ,Anuj Rawat,A. Rawat,WK,7.5
BLR,Virat Kohli,V. Kohli,BAT,10.5
MUM,Rohit Sharma,R. Sharma,BAT,10
HYD,David Warner,D. Warner,BAT,10
CHE,Suresh Raina,S. Raina,BAT,9.5
PNJ,Chris Gayle,C. Gayle,BAT,9.5
BLR,AB de Villiers,A. Villiers,BAT/WK,9.5
PNJ,KL Rahul,K. Rahul,BAT/WK,9.5
RAJ,Jos Buttler,J. Buttler,BAT/WK,9.5
DEL,Rishabh Pant,R. Pant,BAT/WK,9.5
CHE,MS Dhoni,M. Dhoni,BAT/WK,9.5
HYD,Manish Pandey,M. Pandey,BAT,9
PNJ,Dawid Malan,D. Malan,BAT,9
CHE,Ambati Rayudu,A. Rayudu,BAT,9
DEL,Steve Smith,S. Smith,BAT,9
KOL,Eoin Morgan,E. Morgan,BAT,9
DEL,Shikhar Dhawan,S. Dhawan,BAT,9
CHE,Faf du Plessis,F. Plessis,BAT,9
BLR,Finn Allen,F. Allen,BAT,9
HYD,Kane Williamson,K. Williamson,BAT,9
DEL,Ajinkya Rahane,A. Rahane,BAT,9
MUM,Chris Lynn,C. Lynn,BAT,9
KOL,Shubman Gill,S. Gill,BAT,9
RAJ,David Miller,D. Miller,BAT,9
PNJ,Mayank Agarwal,M. Agarwal,BAT,9
CHE,Moeen Ali,M. Ali,BAT/AL,9
BLR,Glenn Maxwell,G. Maxwell,BAT/AL,9
HYD,Jonny Bairstow,J. Bairstow,BAT/WK,9
MUM,Quinton de Kock,Q. Kock,BAT/WK,9
RAJ,Sanju Samson,S. Samson,BAT/WK,9
KOL,Rahul Tripathi,R. Tripathi,BAT,8.5
PNJ,Mandeep Singh,M. Singh,BAT,8.5
RAJ,Manan Vohra,M. Vohra,BAT,8.5
PNJ,Sarfaraz Khan,S. Khan,BAT,8.5
CHE,Robin Uthappa,R. Uthappa,BAT,8.5
HYD,Kedar Jadhav,K. Jadhav,BAT,8.5
MUM,Saurabh Tiwary,S. Tiwary,BAT,8.5
BLR,Devdutt Padikkal,D. Padikkal,BAT,8.5
HYD,Jason Roy,J. Roy,BAT,8.5
DEL,Prithvi Shaw,P. Shaw,BAT,8.5
MUM,Suryakumar Yadav,S. Yadav,BAT,8.5
KOL,Nitish Rana,N. Rana,BAT,8.5
DEL,Shimron Hetmyer,S. Hetmyer,BAT,8.5
RAJ,Liam Livingstone,L. Livingstone,BAT/AL,8.5
PNJ,Nicholas Pooran,N. Pooran,BAT/WK,8.5
KOL,Tim Seifert,T. Seifert,BAT/WK,8.5
KOL,Dinesh Karthik,D. Karthik,BAT/WK,8.5
MUM,Ishan Kishan,I. Kishan,BAT/WK,8.5
RAJ,Yashasvi Jaiswal,Y. Jaiswal,BAT,8
CHE,Cheteshwar Pujara,C. Pujara,BAT,8
BLR,Rajat Patidar,R. Patidar,BAT,8
KOL,Gurkeerat Singh Mann,G. Mann,BAT,8
PNJ,Shahrukh Khan,S. Khan,BAT,8
KOL,Karun Nair,K. Nair,BAT,8
CHE,Hari Nishanth,H. Nishanth,BAT,8
CHE,Ruturaj Gaikwad,R. Gaikwad,BAT,8
BLR,Mohammed Azharuddeen,M. Azharuddeen,BAT,8
BLR,Sachin Baby,S. Baby,BAT,8
PNJ,Deepak Hooda,D. Hooda,BAT/AL,8
RAJ,Riyan Parag,R. Parag,BAT/AL,8
HYD,Abdul Samad,A. Samad,BAT/AL,8
HYD,Wriddhiman Saha,W. Saha,BAT/WK,8
HYD,Virat Singh,V. Singh,BAT,7.5
CHE,Bhagath Varma,B. Varma,BAT,7.5
DEL,Ripal Patel,R. Patel,BAT,7.5
BLR,Pavan Deshpande,P. Deshpande,BAT,7.5
MUM,Anmolpreet Singh,A. Singh,BAT,7.5
MUM,Yudhvir Singh,Y. Singh,BAT,7.5
HYD,Priyam Garg,P. Garg,BAT,7.5
CHE,N Jagadeesan,N. Jagadeesan,BAT,7.5
BLR,Shahbaz Ahmed,S. Ahmed,BAT,7.5
HYD,Shreevats Goswami,S. Goswami,BAT/WK,7.5
KOL,Andre Russell,A. Russell,AL,10.5
KOL,Sunil Narine,S. Narine,AL,9.5
RAJ,Chris Morris,C. Morris,AL,9.5
MUM,Hardik Pandya,H. Pandya,AL,9.5
CHE,Ravindra Jadeja,R. Jadeja,AL,9.5
CHE,Moeen Ali,M. Ali,BAT/AL,9
BLR,Glenn Maxwell,G. Maxwell,BAT/AL,9
DEL,Marcus Stoinis,M. Stoinis,AL,9
KOL,Shakib Al Hasan,S. Hasan,AL,9
CHE,Sam Curran,S. Curran,AL,9
PNJ,Moises Henriques,M. Henriques,AL,9
HYD,Mohammad Nabi,M. Nabi,AL,9
CHE,Mitchell Santner,M. Santner,AL,9
BLR,Daniel Christian,D. Christian,AL,9
CHE,Dwayne Bravo,D. Bravo,AL,9
RAJ,Liam Livingstone,L. Livingstone,BAT/AL,8.5
MUM,James Neesham,J. Neesham,AL,8.5
RAJ,Shivam Dube,S. Dube,AL,8.5
MUM,Kieron Pollard,K. Pollard,AL,8.5
KOL,Ben Cutting,B. Cutting,AL,8.5
DEL,Chris Woakes,C. Woakes,AL,8.5
PNJ,Jalaj Saxena,J. Saxena,AL,8.5
DEL,Tom Curran,T. Curran,AL,8.5
BLR,Washington Sundar,W. Sundar,AL,8.5
HYD,Vijay Shankar,V. Shankar,AL,8.5
HYD,Jason Holder,J. Holder,AL,8.5
PNJ,Fabian Allen,F. Allen,AL/BOWL,8.5
MUM,Krunal Pandya,K. Pandya,AL/BOWL,8.5
PNJ,Deepak Hooda,D. Hooda,BAT/AL,8
RAJ,Riyan Parag,R. Parag,BAT/AL,8
HYD,Abdul Samad,A. Samad,BAT/AL,8
BLR,Daniel Sams,D. Sams,AL,8
PNJ,Saurabh Kumar,S. Kumar,AL,8
MUM,Anukul Roy,A. Roy,AL,8
BLR,Suyash Prabhudessai,S. Prabhudessai,AL,8
RAJ,Chetan Sakariya,C. Sakariya,AL,8
KOL,Venkatesh Iyer,V. Iyer,AL,8
DEL,Shams Mulani,S. Mulani,AL,8
DEL,Lukman Meriwala,L. Meriwala,AL,8
RAJ,Rahul Tewatia,R. Tewatia,AL/BOWL,8
DEL,Lalit Yadav,L. Yadav,AL,7.5
CHE,Harishankar Reddy,H. Reddy,AL,7.5
PNJ,Harpreet Brar,H. Brar,AL,7.5
PNJ,Utkarsh Singh,U. Singh,AL,7.5
RAJ,Mahipal Lomror,M. Lomror,AL,7.5
MUM,Mohsin Khan,M. Khan,AL/BOWL,7.5
MUM,Jasprit Bumrah,J. Bumrah,BOWL,9.5
HYD,Rashid Khan,R. Khan,BOWL,9.5
DEL,Kagiso Rabada,K. Rabada,BOWL,9.5
HYD,Bhuvneshwar Kumar,B. Kumar,BOWL,9
PNJ,Mohammed Shami,M. Shami,BOWL,9
PNJ,Chris Jordan,C. Jordan,BOWL,9
MUM,Nathan Coulter-Nile,N. Coulter-Nile,BOWL,9
MUM,Trent Boult,T. Boult,BOWL,9
KOL,Pat Cummins,P. Cummins,BOWL,9
BLR,Kyle Jamieson,K. Jamieson,BOWL,9
RAJ,Andrew Tye,A. Tye,BOWL,9
KOL,Kuldeep Yadav,K. Yadav,BOWL,9
BLR,Yuzvendra Chahal,Y. Chahal,BOWL,9
HYD,Mujeeb ur Rahman,M. Rahman,BOWL,9
DEL,Ravichandran Ashwin,R. Ashwin,BOWL,9
CHE,Imran Tahir,I. Tahir,BOWL,9
KOL,Harbhajan Singh,H. Singh,BOWL,9
PNJ,Jhye Richardson,J. Richardson,BOWL,9
RAJ,Jofra Archer,J. Archer,BOWL,9
PNJ,Fabian Allen,F. Allen,AL/BOWL,8.5
MUM,Krunal Pandya,K. Pandya,AL/BOWL,8.5
CHE,Jason Behrendorff,J. Behrendorff,BOWL,8.5
PNJ,Riley Meredith,R. Meredith,BOWL,8.5
BLR,Kane Richardson,K. Richardson,BOWL,8.5
DEL,Amit Mishra,A. Mishra,BOWL,8.5
MUM,Piyush Chawla,P. Chawla,BOWL,8.5
DEL,Umesh Yadav,U. Yadav,BOWL,8.5
RAJ,Mustafizur Rahman,M. Rahman,BOWL,8.5
CHE,Lungi Ngidi,L. Ngidi,BOWL,8.5
CHE,Karn Sharma,K. Sharma,BOWL,8.5
CHE,Shardul Thakur,S. Thakur,BOWL,8.5
DEL,Anrich Nortje,A. Nortje,BOWL,8.5
KOL,Lockie Ferguson,L. Ferguson,BOWL,8.5
KOL,Pawan Negi,P. Negi,BOWL,8.5
HYD,Siddarth Kaul,S. Kaul,BOWL,8.5
HYD,Sandeep Sharma,S. Sharma,BOWL,8.5
RAJ,Jaydev Unadkat,J. Unadkat,BOWL,8.5
MUM,Jayant Yadav,J. Yadav,BOWL,8.5
PNJ,Arshdeep Singh,A. Singh,BOWL,8.5
CHE,Deepak Chahar,D. Chahar,BOWL,8.5
MUM,Rahul Chahar,R. Chahar,BOWL,8.5
RAJ,Shreyas Gopal,S. Gopal,BOWL,8.5
BLR,Adam Zampa,A. Zampa,BOWL,8.5
MUM,Dhawal Kulkarni,D. Kulkarni,BOWL,8.5
CHE,Krishnappa Gowtham,K. Gowtham,BOWL,8.5
BLR,Mohammed Siraj,M. Siraj,BOWL,8.5
HYD,T Natarajan,T. Natarajan,BOWL,8.5
KOL,Varun Chakravarthy,V. Chakravarthy,BOWL,8.5
MUM,Adam Milne,A. Milne,BOWL,8.5
DEL,Ishant Sharma,I. Sharma,BOWL,8.5
RAJ,Rahul Tewatia,R. Tewatia,AL/BOWL,8
PNJ,Ishan Porel,I. Porel,BOWL,8
HYD,K Khaleel Ahmed,K. Ahmed,BOWL,8
KOL,Prasidh Krishna,P. Krishna,BOWL,8
BLR,Harshal Patel,H. Patel,BOWL,8
HYD,Basil Thampi,B. Thampi,BOWL,8
MUM,Marco Jansen,M. Jansen,BOWL,8
DEL,Anniruddha Joshi,A. Joshi,BOWL,8
PNJ,Murugan Ashwin,M. Ashwin,BOWL,8
PNJ,Ravi Bishnoi,R. Bishnoi,BOWL,8
HYD,Jagadeesha Suchith,J. Suchith,BOWL,8
RAJ,KC Cariappa,K. Cariappa,BOWL,8
BLR,Navdeep Saini,N. Saini,BOWL,8
DEL,Avesh Khan,A. Khan,BOWL,8
HYD,Shahbaz Nadeem,S. Nadeem,BOWL,8
KOL,Shivam Mavi,S. Mavi,BOWL,8
RAJ,Mayank Markande,M. Markande,BOWL,8
RAJ,Kartik Tyagi,K. Tyagi,BOWL,8
KOL,Kamlesh Nagarkoti,K. Nagarkoti,BOWL,8
MUM,Mohsin Khan,M. Khan,AL/BOWL,7.5
